Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,dummy_1,dummy_2,dummy_3
147/249,10.5G,0.04754,0.003791,0,0.05133,21,640,0.7945,0.5074,0.6074,0.2729,0.08928,0.005371,0
148/249,10.5G,0.0495,0.003854,0,0.05335,10,640,0.8195,0.4887,0.602,0.2736,0.08918,0.005384,0
149/249,10.5G,0.04757,0.003877,0,0.05145,7,640,0.6796,0.5643,0.6041,0.278,0.08918,0.005358,0
150/249,10.5G,0.04537,0.003669,0,0.04903,8,640,0.6753,0.5668,0.6028,0.2745,0.08916,0.005358,0
151/249,10.5G,0.04573,0.003907,0,0.04964,21,640,0.6612,0.5829,0.6057,0.2756,0.08909,0.005363,0
152/249,10.5G,0.04546,0.003779,0,0.04923,28,640,0.6775,0.5804,0.6089,0.2734,0.0891,0.005368,0
153/249,10.5G,0.04527,0.003752,0,0.04902,19,640,0.68,0.5813,0.6056,0.2738,0.08907,0.005377,0
154/249,10.5G,0.04764,0.00378,0,0.05142,23,640,0.6747,0.5755,0.6043,0.2746,0.08901,0.005389,0
155/249,10.5G,0.04878,0.003736,0,0.05252,20,640,0.7629,0.521,0.6073,0.2749,0.08895,0.005389,0
156/249,10.5G,0.0469,0.003793,0,0.05069,34,640,0.7006,0.5681,0.612,0.2758,0.08884,0.005397,0
157/249,10.5G,0.04919,0.003939,0,0.05313,27,640,0.6846,0.5681,0.6072,0.2758,0.08879,0.005397,0
158/249,10.5G,0.04736,0.003818,0,0.05118,14,640,0.7125,0.5552,0.6077,0.278,0.08871,0.005393,0
159/249,10.5G,0.04701,0.003681,0,0.05069,10,640,0.6952,0.5656,0.61,0.2786,0.08868,0.005391,0
160/249,10.5G,0.04692,0.003944,0,0.05087,14,640,0.7232,0.552,0.6118,0.2789,0.08867,0.005385,0
161/249,10.5G,0.04649,0.003734,0,0.05023,18,640,0.7204,0.5517,0.607,0.2775,0.08856,0.005404,0
162/249,10.5G,0.04612,0.003831,0,0.04995,31,640,0.7376,0.5507,0.6133,0.2784,0.08841,0.005415,0
163/249,10.5G,0.04685,0.003741,0,0.0506,33,640,0.7202,0.5582,0.6121,0.2772,0.08832,0.005413,0
164/249,10.5G,0.04753,0.00376,0,0.05129,27,640,0.7176,0.5668,0.6175,0.2783,0.08827,0.005416,0
165/249,10.5G,0.04603,0.003923,0,0.04996,28,640,0.7056,0.5681,0.6176,0.2779,0.08822,0.005417,0
166/249,10.5G,0.04723,0.003669,0,0.0509,10,640,0.7339,0.5483,0.6144,0.277,0.0882,0.005416,0
167/249,10.5G,0.0487,0.003884,0,0.05259,24,640,0.733,0.5505,0.6161,0.2771,0.08816,0.00541,0
168/249,10.5G,0.04621,0.003943,0,0.05015,9,640,0.71,0.5605,0.6114,0.277,0.08815,0.005405,0
169/249,10.5G,0.04818,0.00384,0,0.05202,25,640,0.7034,0.5693,0.6153,0.276,0.08819,0.005407,0
170/249,10.5G,0.04384,0.003745,0,0.04759,5,640,0.6937,0.5755,0.6145,0.2772,0.08811,0.005409,0
171/249,10.5G,0.04514,0.003708,0,0.04885,14,640,0.7086,0.5693,0.6165,0.2777,0.0881,0.005408,0
172/249,10.5G,0.04445,0.003673,0,0.04812,11,640,0.716,0.5718,0.6162,0.2785,0.08804,0.00542,0
173/249,10.5G,0.04448,0.003765,0,0.04824,12,640,0.7366,0.5606,0.6166,0.2797,0.08801,0.005417,0
174/249,10.5G,0.04409,0.003882,0,0.04797,11,640,0.7362,0.5594,0.6178,0.2822,0.08799,0.005419,0
175/249,10.5G,0.0439,0.003754,0,0.04766,44,640,0.7429,0.5569,0.6161,0.2809,0.08795,0.005421,0
176/249,10.5G,0.04731,0.003725,0,0.05103,31,640,0.7289,0.5656,0.6188,0.2813,0.08791,0.005422,0
177/249,10.5G,0.04619,0.003694,0,0.04989,17,640,0.7045,0.5804,0.6185,0.2829,0.08785,0.005424,0
178/249,10.5G,0.04564,0.003808,0,0.04945,22,640,0.7376,0.5644,0.6221,0.2816,0.0878,0.005428,0
179/249,10.5G,0.04406,0.003655,0,0.04771,9,640,0.7386,0.5631,0.6195,0.2821,0.08774,0.00543,0
180/249,10.5G,0.0458,0.003714,0,0.04951,18,640,0.7402,0.5718,0.6262,0.283,0.08765,0.005437,0
181/249,10.5G,0.04632,0.00381,0,0.05013,8,640,0.7339,0.5734,0.6255,0.285,0.08762,0.005438,0
182/249,10.5G,0.04841,0.00382,0,0.05223,43,640,0.7494,0.5606,0.6263,0.284,0.08755,0.005442,0
183/249,10.5G,0.04789,0.003818,0,0.05171,21,640,0.7526,0.5619,0.6285,0.2835,0.08751,0.005443,0
184/249,10.5G,0.04481,0.003819,0,0.04862,24,640,0.7489,0.5619,0.6279,0.2825,0.08748,0.005441,0
185/249,10.5G,0.04447,0.003612,0,0.04808,8,640,0.7619,0.5544,0.6304,0.2842,0.08742,0.005437,0
186/249,10.5G,0.04587,0.003703,0,0.04958,21,640,0.7676,0.5519,0.6302,0.2839,0.08739,0.005435,0
187/249,10.5G,0.04691,0.003666,0,0.05058,39,640,0.7616,0.5574,0.6331,0.2839,0.08735,0.005431,0
188/249,10.5G,0.04452,0.003855,0,0.04837,14,640,0.7691,0.5565,0.6337,0.2844,0.08731,0.005427,0
189/249,10.5G,0.04617,0.003746,0,0.04992,13,640,0.7499,0.5644,0.6329,0.2851,0.08727,0.005431,0
190/249,10.5G,0.04653,0.00371,0,0.05024,9,640,0.7581,0.5606,0.6325,0.2866,0.08723,0.005435,0
191/249,10.5G,0.04472,0.003676,0,0.0484,8,640,0.7486,0.5619,0.6309,0.2878,0.08721,0.005431,0
192/249,10.5G,0.04682,0.003779,0,0.0506,9,640,0.7598,0.5637,0.6363,0.2882,0.08718,0.005429,0
193/249,9.93G,0.04577,0.00361,0,0.04938,14,640,0.7613,0.5656,0.6356,0.2863,0.08716,0.005427,0
194/249,10.5G,0.04686,0.003655,0,0.05051,12,640,0.7602,0.5668,0.6387,0.2873,0.08713,0.005427,0
195/249,10.5G,0.04434,0.003677,0,0.04801,6,640,0.7609,0.5644,0.6366,0.2869,0.0871,0.005423,0
196/249,10.5G,0.0456,0.003788,0,0.04939,20,640,0.7597,0.5712,0.6409,0.2872,0.08707,0.00542,0
197/249,10.5G,0.0464,0.003684,0,0.05008,7,640,0.7414,0.5792,0.6391,0.2876,0.08706,0.005416,0
198/249,10.5G,0.04575,0.003715,0,0.04946,16,640,0.7463,0.579,0.639,0.2867,0.08705,0.005412,0
199/249,10.5G,0.04548,0.003642,0,0.04912,16,640,0.7458,0.5817,0.6387,0.2872,0.08702,0.005409,0
200/249,10.5G,0.04488,0.0037,0,0.04858,16,640,0.7484,0.5817,0.639,0.2885,0.08699,0.005407,0
201/249,10.5G,0.04627,0.003659,0,0.04993,5,640,0.7492,0.584,0.6408,0.2891,0.08695,0.005405,0
202/249,10.5G,0.04494,0.0036,0,0.04854,21,640,0.751,0.5786,0.6386,0.2896,0.08693,0.005409,0
203/249,10.5G,0.04565,0.003692,0,0.04934,2,640,0.7366,0.5829,0.6361,0.2906,0.08691,0.00541,0
204/249,10.5G,0.04494,0.003644,0,0.04858,18,640,0.7487,0.578,0.6364,0.2908,0.08689,0.005412,0
205/249,10.5G,0.04366,0.003706,0,0.04737,15,640,0.7482,0.5792,0.6376,0.291,0.08688,0.005412,0
206/249,10.5G,0.04485,0.003671,0,0.04852,19,640,0.7555,0.5705,0.6365,0.2903,0.08685,0.005412,0
207/249,10.5G,0.04427,0.00354,0,0.04781,16,640,0.7357,0.5829,0.6376,0.2895,0.08683,0.005413,0
208/249,10.5G,0.04578,0.00363,0,0.04941,23,640,0.75,0.5754,0.6368,0.2894,0.08683,0.005413,0
209/249,10.5G,0.04428,0.003594,0,0.04787,13,640,0.7412,0.585,0.6405,0.2895,0.08682,0.005412,0
210/249,10.5G,0.04566,0.003568,0,0.04923,30,640,0.7349,0.59,0.64,0.2888,0.0868,0.005412,0
211/249,10.5G,0.04342,0.00366,0,0.04708,17,640,0.7388,0.5916,0.6413,0.2889,0.08678,0.005411,0
212/249,10.5G,0.04485,0.003695,0,0.04854,21,640,0.7427,0.5891,0.6412,0.2893,0.08676,0.005411,0
213/249,10.5G,0.04329,0.003679,0,0.04697,15,640,0.741,0.5912,0.6413,0.2891,0.08674,0.00541,0
214/249,10.5G,0.04611,0.003676,0,0.04978,13,640,0.7429,0.5902,0.6407,0.2885,0.08672,0.00541,0
215/249,10.5G,0.04508,0.003666,0,0.04875,6,640,0.7413,0.5928,0.643,0.2881,0.08671,0.00541,0
216/249,10.5G,0.04586,0.003655,0,0.04951,20,640,0.7457,0.5916,0.6439,0.2888,0.08669,0.005408,0
217/249,10.5G,0.04357,0.003686,0,0.04726,11,640,0.741,0.5914,0.6426,0.2887,0.08666,0.00541,0
218/249,10.5G,0.0446,0.003718,0,0.04832,32,640,0.7413,0.5916,0.6431,0.2882,0.08664,0.005411,0
219/249,10.5G,0.04503,0.003513,0,0.04854,27,640,0.7441,0.5916,0.6452,0.2885,0.08662,0.005411,0
220/249,10.5G,0.04523,0.003687,0,0.04892,20,640,0.7507,0.5891,0.646,0.2888,0.0866,0.005411,0
221/249,10.5G,0.04283,0.003712,0,0.04655,8,640,0.7477,0.5916,0.6466,0.2889,0.08658,0.00541,0
222/249,10.5G,0.04421,0.003566,0,0.04777,23,640,0.7497,0.5903,0.6469,0.2895,0.08657,0.005411,0
223/249,10.5G,0.04487,0.003616,0,0.04849,11,640,0.7493,0.5928,0.6491,0.2899,0.08656,0.005411,0
224/249,10.5G,0.04402,0.003619,0,0.04764,16,640,0.7514,0.5916,0.65,0.2903,0.08654,0.005412,0
225/249,10.5G,0.04379,0.003648,0,0.04743,15,640,0.7489,0.5916,0.6496,0.2895,0.08653,0.005414,0
226/249,10.5G,0.04189,0.003645,0,0.04553,23,640,0.7493,0.5928,0.6505,0.29,0.0865,0.005414,0
227/249,10.5G,0.0423,0.003653,0,0.04595,12,640,0.7506,0.5924,0.6499,0.2908,0.08649,0.005414,0
228/249,10.5G,0.04658,0.003552,0,0.05013,12,640,0.7472,0.5928,0.6491,0.2913,0.08647,0.005413,0
229/249,10.5G,0.04554,0.00362,0,0.04916,16,640,0.7483,0.5922,0.6496,0.2918,0.08646,0.005413,0
230/249,10.5G,0.04381,0.003725,0,0.04754,12,640,0.7466,0.5953,0.6507,0.2924,0.08643,0.005414,0
231/249,10.5G,0.04333,0.003614,0,0.04695,27,640,0.7498,0.5935,0.6506,0.2928,0.08641,0.005415,0
232/249,10.5G,0.04282,0.003647,0,0.04646,9,640,0.7443,0.5953,0.6498,0.2927,0.08639,0.005416,0
233/249,10.5G,0.04491,0.003699,0,0.04861,18,640,0.7441,0.5941,0.6492,0.2932,0.08638,0.005416,0
234/249,10.5G,0.0443,0.00352,0,0.04782,8,640,0.7452,0.5938,0.6491,0.2927,0.08636,0.005416,0
235/249,10.5G,0.04337,0.003531,0,0.0469,3,640,0.7457,0.5953,0.6492,0.2932,0.08635,0.005417,0
236/249,10.5G,0.04535,0.003542,0,0.04889,9,640,0.7431,0.5965,0.6484,0.2933,0.08634,0.005417,0
237/249,10.5G,0.04295,0.003644,0,0.04659,7,640,0.7448,0.596,0.6487,0.2931,0.08632,0.005416,0
238/249,10.5G,0.043,0.003688,0,0.04668,44,640,0.7515,0.5916,0.6488,0.2927,0.08631,0.005415,0
239/249,10.5G,0.04421,0.003582,0,0.04779,14,640,0.7504,0.5915,0.6489,0.2934,0.08629,0.005415,0
240/249,10.5G,0.04581,0.00367,0,0.04948,18,640,0.7313,0.6052,0.6494,0.2931,0.08628,0.005415,0
241/249,10.5G,0.04727,0.003633,0,0.0509,16,640,0.7311,0.6057,0.6504,0.2927,0.08626,0.005415,0
242/249,10.5G,0.0461,0.003511,0,0.04961,38,640,0.7363,0.6013,0.6494,0.2925,0.08625,0.005416,0
243/249,10.5G,0.04374,0.003626,0,0.04737,11,640,0.7298,0.604,0.6492,0.2937,0.08623,0.005415,0
244/249,10.5G,0.04299,0.0036,0,0.04659,13,640,0.7336,0.6032,0.6505,0.2934,0.08622,0.005415,0
245/249,10.5G,0.04503,0.003573,0,0.0486,26,640,0.739,0.6026,0.652,0.2934,0.08621,0.005414,0
246/249,10.5G,0.04394,0.003586,0,0.04752,8,640,0.7319,0.6048,0.651,0.2927,0.0862,0.005414,0
247/249,10.5G,0.04216,0.003543,0,0.0457,10,640,0.7358,0.6027,0.6513,0.2935,0.08619,0.005414,0
248/249,10.5G,0.04369,0.003534,0,0.04722,11,640,0.7338,0.6038,0.6513,0.2937,0.08618,0.005413,0
249/249,10.5G,0.04425,0.003645,0,0.04789,17,640,0.7369,0.6015,0.6513,0.2934,0.08616,0.005413,0
