Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,dummy_1,dummy_2,dummy_3
66/249,10.8G,0.05031,0.003972,0,0.05429,8,640,0.5291,0.4678,0.4534,0.1655,0.09809,0.005809,0
67/249,10.8G,0.05044,0.004211,0,0.05465,21,640,0.682,0.3981,0.4534,0.165,0.09727,0.005725,0
68/249,10.8G,0.0488,0.0041,0,0.0529,28,640,0.5587,0.448,0.446,0.1573,0.09725,0.005798,0
69/249,10.8G,0.05029,0.004028,0,0.05432,19,640,0.6109,0.427,0.4542,0.1583,0.0974,0.00584,0
70/249,10.8G,0.05117,0.00407,0,0.05524,23,640,0.5636,0.4084,0.4323,0.1533,0.09746,0.005899,0
71/249,10.8G,0.05173,0.004017,0,0.05574,20,640,0.5624,0.4839,0.4822,0.1789,0.09668,0.005729,0
72/249,10.8G,0.05097,0.00408,0,0.05505,34,640,0.6008,0.4676,0.4821,0.1844,0.09659,0.005769,0
73/249,10.8G,0.05273,0.00422,0,0.05695,27,640,0.6108,0.4797,0.4894,0.1799,0.09622,0.005753,0
74/249,10.8G,0.05223,0.00408,0,0.05631,14,640,0.5645,0.4802,0.4779,0.184,0.09591,0.005706,0
75/249,10.8G,0.05189,0.003965,0,0.05585,10,640,0.6138,0.4629,0.4837,0.1849,0.09668,0.005752,0
76/249,10.8G,0.05171,0.004186,0,0.0559,14,640,0.7473,0.4319,0.5025,0.1935,0.09597,0.005609,0
77/249,10.8G,0.05066,0.003976,0,0.05464,18,640,0.6794,0.4517,0.4941,0.1889,0.09615,0.005742,0
78/249,10.8G,0.04948,0.00409,0,0.05357,31,640,0.6735,0.4571,0.4963,0.1897,0.09592,0.005653,0
79/249,10.8G,0.05134,0.003945,0,0.05529,33,640,0.6516,0.4728,0.4946,0.1936,0.09627,0.005629,0
80/249,10.8G,0.05088,0.004034,0,0.05492,27,640,0.6324,0.4599,0.491,0.1937,0.09569,0.005647,0
81/249,10.8G,0.05047,0.004169,0,0.05464,28,640,0.6387,0.4747,0.4936,0.1898,0.09576,0.005709,0
82/249,10.8G,0.05036,0.003947,0,0.0543,10,640,0.7185,0.4592,0.5122,0.205,0.09523,0.00565,0
83/249,10.8G,0.05152,0.004138,0,0.05566,24,640,0.6728,0.4454,0.5007,0.1966,0.09537,0.005637,0
84/249,9.93G,0.05096,0.003936,0,0.0549,14,640,0.7031,0.4406,0.4957,0.1963,0.09545,0.005602,0
85/249,10.5G,0.04965,0.003937,0,0.05358,12,640,0.7311,0.4542,0.5105,0.2045,0.0949,0.005644,0
86/249,10.5G,0.04865,0.003991,0,0.05264,6,640,0.6941,0.4831,0.5191,0.198,0.09478,0.005653,0
87/249,10.5G,0.04903,0.004093,0,0.05312,20,640,0.6414,0.5186,0.5359,0.2144,0.09485,0.005612,0
88/249,10.5G,0.05133,0.003968,0,0.0553,7,640,0.7332,0.4626,0.5275,0.2131,0.09471,0.005555,0
89/249,10.5G,0.04917,0.004016,0,0.05318,16,640,0.7325,0.4576,0.5222,0.2095,0.09459,0.005637,0
90/249,10.5G,0.04926,0.003945,0,0.0532,16,640,0.6897,0.4988,0.5328,0.2228,0.09435,0.005577,0
91/249,10.5G,0.04951,0.003999,0,0.05351,16,640,0.6906,0.5396,0.5626,0.2239,0.09413,0.005558,0
92/249,10.5G,0.05019,0.003939,0,0.05413,5,640,0.69,0.5062,0.5417,0.221,0.09424,0.005554,0
93/249,10.5G,0.04833,0.003887,0,0.05222,21,640,0.711,0.5084,0.5535,0.2304,0.0942,0.005544,0
94/249,10.5G,0.04802,0.00396,0,0.05198,2,640,0.7684,0.4814,0.558,0.2295,0.09351,0.005545,0
95/249,10.5G,0.04851,0.003946,0,0.05245,18,640,0.7276,0.4975,0.5543,0.2312,0.09378,0.005501,0
96/249,10.5G,0.04699,0.003967,0,0.05095,15,640,0.6964,0.4882,0.5448,0.2232,0.09413,0.005476,0
